SubNo	Feature_meanRT	Feature_medianRT	Feature_logRT	Feature_RunNum	Feature_RunLength	Conj_meanRT	Conj_medianRT	Conj_logRT	Conj_RunNum	Conj_RunLength
1	22098.6	21726.9	16.9038	13.8	3.30573	20386.6	19578.9	16.8251	16.85	2.47686
2	22714.2	22338.5	16.9348	11.5	5.12907	41210.2	37876.8	17.504	6.85	11.6099
3	20018.7	19728.5	16.8109	16.65	2.48377	24251.8	23702.1	16.9976	7.3	7.27316
4	22098.6	21726.9	16.9038	13.8	3.30573	34799.9	34047.1	17.3454	10.8333	4.1857
5	27737.4	28062.5	17.1368	20.25	2.03838	32956.5	32419.9	17.3054	2.9	17.4524
6	30190.9	30483.5	17.2199	19.5	2.0931	35388.7	34505.5	17.3682	12.15	4.54928
7	29057	29180.2	17.1801	14.9	2.86492	31157.9	31070.5	17.2494	2.2	18.6667
8	24459.2	24439.1	17.011	20.5	1.98829	32617.8	31516.5	17.2872	2.35	18.9167
9	27009.7	26716.8	17.1085	19.8	2.10925	33184.9	33443.7	17.3119	2.35	18.4
10	24147.4	24240.6	16.998	17.45	2.44981	31356.8	31494.3	17.246	14.9	2.82229
11	28682.1	27542.7	17.1586	18.6	2.20123	34120.7	31822.9	17.3297	6.85	11.4647
12	31485.7	30756.6	17.2626	17.15	2.41419	45420	42982.3	17.6188	12.3	4.10361
13	31583.8	31234	17.2654	16.85	2.53869	34875.5	33023.1	17.3606	4.55	13.8247
14	25209	25082.2	17.0403	18.05	2.26623	36801.2	35641.8	17.4174	16.45	2.55462
15	27010	26519.6	17.108	19.35	2.12939	29084.4	28800	17.1837	2.05	19.6667
16	27544.2	27519.9	17.13	19.45	2.0794	41147.5	41004.4	17.5251	12.3	7.8018
17	30661.3	29925.1	17.2336	18.45	2.28686	36079.7	36393.2	17.3927	12.9	3.20498
19	25265.5	25430.4	17.0403	18.75	2.19418	26644.7	26683.7	17.0974	2.1	19.5
20	23271.2	23291.7	16.9603	17.9	2.33887	25921.1	25543.3	17.063	2.4	18.4
21	32097.5	32801	17.28	20.35	1.99789	33862	33426.5	17.3338	2.75	17.6667
22	26413.6	26043.3	17.087	17.55	2.35847	29011.1	29849	17.1803	16.05	3.7972
23	27714.8	27353.7	17.1334	19.25	2.11403	31614.8	31032.1	17.2669	7.45	11.667
24	25620.9	25804.4	17.056	17.25	2.44644	43009.7	41902.5	17.5634	16.1	2.55273
25	27475.4	26940.7	17.1262	18.1	2.28457	39241.5	39950.1	17.4788	5.25	14.5758
26	22914.2	22886.1	16.9449	17.15	2.40217	38888.6	37615.7	17.466	14.65	2.92465
27	28634.8	28400.3	17.1685	13.15	6.44743	32556	32117.3	17.2964	2.1	19.5
28	25868.1	25430.3	17.0639	13.4	3.9984	39577.4	38650.9	17.4811	3.25	16.2175
29	23315.3	22838.5	16.9631	17.65	2.43693	30768.9	29880.4	17.2365	16.65	2.53007
30	23408.9	23251.8	16.9671	18	2.26845	37795.9	36797.9	17.4436	14.5	4.00006
32	31028.2	30555	17.2455	15.85	2.71177	41859.1	38588.3	17.5286	12.65	3.41045
